City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,longyearbyen,78.2186,15.6401,2.91,65,75,6.17,SJ,1717955240
216,ta`u,-14.2336,-169.5144,26.51,65,95,8.44,AS,1717955240
217,mangrol,21.1167,70.1167,29.68,79,65,5.24,IN,1717955240
218,smithers,54.7804,-127.1743,17.18,45,75,3.09,CA,1717955240
219,lompoc,34.6391,-120.4579,23.16,71,0,3.6,US,1717955137
220,kapuskasing,49.4169,-82.4331,8.05,93,100,7.2,CA,1717955162
221,tanjung pandan,-2.75,107.65,26.49,86,11,2.56,ID,1717955240
222,newman,37.3138,-121.0208,25.69,50,43,0.89,US,1717955241
223,guarapari,-20.6667,-40.4975,25.09,61,24,5.31,BR,1717955241
224,kencong,-8.2833,113.3667,24.01,93,81,0.99,ID,1717955241
225,les cayes,18.2,-73.75,29.86,72,90,5.82,HT,1717955241
226,wenshang,35.7275,116.4961,26.14,27,85,1.85,CN,1717955241
227,la'ie,21.6477,-157.9253,26.98,74,14,3.58,US,1717955241
228,mockern,52.1333,11.95,16.53,62,15,3.46,DE,1717955095
229,turbat,26.0023,63.044,32.7,49,0,5.36,PK,1717955241
230,san antonio de pale,-1.4014,5.6325,24.88,81,57,4.1,GQ,1717955241
231,mossel bay,-34.1831,22.146,11.96,76,1,1.7,ZA,1717954951
232,pimentel,-6.8367,-79.9342,23.16,60,75,6.69,PE,1717955241
233,tutoia,-2.7619,-42.2744,27.57,87,80,2.71,BR,1717955241
234,cafayate,-26.073,-65.9761,27.47,5,100,2.71,AR,1717954949
235,kargil,34.5667,76.1,6.59,36,23,3.01,IN,1717955241
236,arar,30.9753,41.0381,38.01,7,0,0.0,SA,1717955242
237,touros,-5.1989,-35.4608,27.51,79,70,6.86,BR,1717955242
238,mthatha,-31.5889,28.7844,12.31,76,0,2.57,ZA,1717955242
239,lae,-6.7221,146.9847,23.5,85,95,1.56,PG,1717955242
240,visby,57.6409,18.296,12.24,93,40,7.72,SE,1717955242
241,suoyarvi,62.0833,32.35,14.43,58,99,4.8,RU,1717955242
242,big bear city,34.2611,-116.845,24.73,14,0,4.47,US,1717955242
243,zhongshu,24.5167,103.7667,16.81,98,100,1.24,CN,1717955242
244,belyy yar,53.6039,91.3903,16.94,72,0,4.0,RU,1717955242
245,wuwei,37.9281,102.6414,18.6,25,68,2.7,CN,1717955242
246,utrik,11.2278,169.8474,28.19,81,81,6.68,MH,1717955242
247,mulayjah,27.271,48.4242,34.54,28,0,3.8,SA,1717955242
248,sao gabriel da cachoeira,-0.1303,-67.0892,27.89,83,75,2.06,BR,1717955242
249,udachny,66.4167,112.4,16.92,34,87,2.5,RU,1717955242
250,axim,4.8699,-2.2405,25.72,89,99,2.07,GH,1717954943
251,port saint john's,-31.6229,29.5448,17.14,70,0,3.25,ZA,1717955243
252,mhamid,29.82,-5.72,35.49,10,1,9.98,MA,1717955243
253,aasiaat,68.7098,-52.8699,1.9,92,97,1.94,GL,1717955243
254,hithadhoo,-0.6,73.0833,28.53,72,100,2.5,MV,1717955243
255,baymak,52.5933,58.3225,15.98,94,29,5.15,RU,1717955243
256,inirida,3.8653,-67.9239,23.58,98,100,0.56,CO,1717955243
257,babayevo,59.3936,35.9371,14.42,63,100,2.75,RU,1717955243
258,greymouth,-42.4667,171.2,13.66,95,97,3.54,NZ,1717955243
259,palmer,42.1584,-72.3287,16.95,66,75,0.0,US,1717954967
260,kamaishi,39.2667,141.8833,16.12,97,100,2.5,JP,1717955197
261,buala,-8.145,159.5921,27.3,84,65,3.23,SB,1717955243
262,salinas,36.6777,-121.6555,21.41,72,40,4.12,US,1717955243
263,verkhnevilyuysk,63.4453,120.3167,11.04,84,77,1.2,RU,1717955243
264,sao vicente,-23.9631,-46.3919,31.26,73,0,2.68,BR,1717955243
265,shatrovo,56.5167,64.6333,13.87,83,100,2.94,RU,1717955243
266,patacamaya,-17.2333,-67.9167,14.04,14,90,0.3,BO,1717955243
267,tolanaro,-25.0319,46.9987,17.04,94,75,1.54,MG,1717955244
268,paramonga,-10.6667,-77.8333,20.15,73,59,4.23,PE,1717955244
269,dunedin,-45.8742,170.5036,9.89,94,100,4.02,NZ,1717955244
270,bizerte,37.2744,9.8739,28.0,39,20,6.69,TN,1717955244
271,barcelos,41.5388,-8.6151,23.29,65,76,2.4,PT,1717955244
272,mumford,5.2618,-0.759,26.56,84,98,3.99,GH,1717955244
273,isiro,2.7739,27.616,20.03,96,100,1.75,CD,1717955244
274,rio grande,-32.035,-52.0986,28.06,67,53,6.48,BR,1717955244
275,kurchatov,51.6601,35.6521,17.23,82,54,1.74,RU,1717955244
